^#?([a-fA-F0-9]{6}|[a-fA-F0-9]{3})$;Cores hexadecimais no formato #CCC #CCCCC ;HTML;Tiago Heineck;
[0-9]{3}\.[0-9]{5}\.[0-9]{2}\-[0-9];PIS/PASEP Valido;JS ;Cristian Penteado;
\/\*\s\w{1,}\s\*\/;Valida comentario em bloco JS com espacos no inicio e fim;JS ;Cristian Penteado;
u|U[a-zA-Z]*;Valida nomes de Universidades brasileiras iniciadas com 'U' ;JS ;Cristian Penteado;
^[0-9A-Z]{10}\/[0-9]{2}$;Valida codigo do modelo de uma TV Philips;JS ;Cristian Penteado;
^0*(100\.00|[0-9]?[0-9]\.[0-9]{2})%$;Valida uma porcentagem com duas casas depois do ponto;JS ;Cristian Penteado;
[0-9]{5}\/[A-Z]{6}[0-9]{2};Valida codigo da materiado sistema academico da Unoesc no Aula online;JS ;Cristian Penteado;
[0-9]{1,}\,[0-9]{2}Ah;Valida uma amperagem com duas casas depois da virgula;JS ;Cristian Penteado;
\/\/\w*;Valida um comentario em JS;JS ;Cristian Penteado;
[0-1]{1,};Valida um numero binario;JS ;Cristian Penteado;
[0-9]{2}\.[0-9]{3}\.[0-9]{3}\/[0-9]{4}\-[0-9]{2};CNPJ Valido;JS ;Cristian Penteado;
[0-9]*\/[12]\d\d\d;Verifica numero de liceitacao ou Processo licitario;JS ;Douglas Scaini;
[a-zA-Z0-9]+;Nomes Letras e numeros - Alfa numericos;JS ;Douglas Scaini;
STEAM_[1-9]:[0-9]:[0-9]{8};Verifica Steam ID (Plataforma de Jogos);JS ;Douglas Scaini;
[0-9]{5}[\-]?[0-9]{3};Codigo Postal Brasileiro;JS;Douglas Scaini;
(\d{5}([\-]\d{4})?);Codigo Postal Americano ( nnnnn ou nnnnn-nnnn );JS ;Douglas Scaini;
[\+]\d{2}[\(]\d{2}[\)]\d{4}[\-]\d{4};Numero de Telefone Residencial Completo - Brasil;JS ;Douglas Scaini;
^\d+$;Verifica se e somente um numero;JS ;Douglas Scaini;
^#?([a-fA-F0-9]{6}|[a-fA-F0-9]{3})$ ;Cores Hexadecial  ( #CCC ou #CCCCCC );JS ;Douglas Scaini;
[0-9]{5}\.[0-9]{5}\s[0-9]{5}\.[0-9]{6}\s[0-9]{5}\.[0-9]{5}\s[0-9]\s[0-9]{14};Verificar Linha digitavel Boleto Sicredi (sem validacao);JS;JS ;Douglas Scaini
[-+]?[0-9]*[.,]?[0-9]+;Numeros Positivos e Negativos Decimais;JS ;Douglas Scaini;
^(http|https):\/\/github.com\/[\w]+$;Valida se e link para um perfil valido do Github;JS ;Daniel Silva;
